MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,LBase_P2P,LBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
51,1,4,200,0.180511475,4.829483032,0.329284668,16.76574707,0.296,2.386,1.328,1,1,1,1,100,0,1,0
52,1,1,500,0.266571045,6.143188477,0.164031982,13.32794189,0.566,1.462,1.326,1,1,1,1,100,0,1,0
53,1,3,500,3.392181396,35.52635193,0.591125488,50.66390991,0.525,1.671,0.953,1,1,0,0,100,0,1,0
54,1,4,200,1.055755615,21.34284973,0.595550537,49.27429199,0.466,1.712,0.892,1,1,0,0,100,0,1,0
55,1,1,500,0.627441406,11.59584045,0.043029785,10.74920654,0.306,2.13,-0.065,1,1,0,0,100,0,1,0
56,1,3,200,1.060333252,20.52627563,0.938262939,48.27087402,0.436,2.227,0.068,1,1,0,0,100,0,1,0
57,1,4,200,1.07131958,27.53219604,0.900726318,73.46847534,0.733,2.592,-0.005,1,1,0,0,100,0,1,0
58,1,1,500,1.280822754,25.00961304,0.914611816,81.35772705,0.644,2.781,0.123,1,1,0,0,100,0,1,0
59,1,3,200,1.895599365,39.55078125,1.970367432,119.0346527,0.716,2.834,0.648,1,1,1,1,100,0,1,0
60,1,4,500,1.546478271,33.39584351,1.207733154,93.90678406,0.464,2.437,0.282,1,1,1,1,100,0,1,0
61,1,1,500,1.644439697,29.42626953,1.347808838,100.4436493,0.359,2.527,0.17,0,1,0,0,100,0,1,0
62,1,3,200,1.64276123,37.08930969,1.371002197,101.4876556,0.638,2.838,0.442,1,1,0,0,100,0,1,0
63,1,4,500,1.490783691,22.07893372,1.053009033,80.98342896,0.426,3.449,1.266,1,1,0,0,100,0,1,0
64,1,1,200,1.871185303,35.52970886,1.151733398,101.5071106,0.65,2.886,1.906,1,1,0,0,100,0,1,0
65,1,3,200,1.865539551,29.17144775,1.311035156,113.4901428,0.357,2.992,0.47,1,1,0,0,100,0,1,0
66,1,4,500,1.880340576,39.62295532,1.500854492,134.6247864,0.477,2.376,0.845,1,1,0,0,100,0,1,0
67,1,1,200,1.816864014,32.91488647,1.451416016,112.1387482,0.541,2.838,1.081,1,1,0,0,100,0,1,0
68,1,3,500,2.587280273,42.36831665,1.40335083,126.8260956,0.517,2.926,0.965,1,1,0,0,100,0,1,0
69,1,4,500,1.363677979,35.33760071,1.46484375,130.0319672,1.264,2.475,0.984,1,1,0,0,100,0,1,0
