MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,SBase_P2P,SBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
51,1,4,200,0.180511475,4.829483032,0.07522583,1.527786255,0.296,2.386,1.328,1,1,1,1,100,0,1,0
52,1,1,500,0.266571045,6.143188477,0.100708008,1.780319214,0.566,1.462,1.326,1,1,1,1,100,0,1,0
53,1,3,500,3.392181396,35.52635193,0.472717285,3.087768555,0.525,1.671,0.953,1,1,0,0,100,0,1,0
54,1,4,200,1.055755615,21.34284973,0.429992676,4.820098877,0.466,1.712,0.892,1,1,0,0,100,0,1,0
55,1,1,500,0.627441406,11.59584045,0.042724609,1.074676514,0.306,2.13,-0.065,1,1,0,0,100,0,1,0
56,1,3,200,1.060333252,20.52627563,0.833129883,9.130859375,0.436,2.227,0.068,1,1,0,0,100,0,1,0
57,1,4,200,1.07131958,27.53219604,0.774078369,7.296295166,0.733,2.592,-0.005,1,1,0,0,100,0,1,0
58,1,1,500,1.280822754,25.00961304,0.823516846,11.2361145,0.644,2.781,0.123,1,1,0,0,100,0,1,0
59,1,3,200,1.895599365,39.55078125,1.176300049,11.32575989,0.716,2.834,0.648,1,1,1,1,100,0,1,0
60,1,4,500,1.546478271,33.39584351,0.709228516,7.655792236,0.464,2.437,0.282,1,1,1,1,100,0,1,0
61,1,1,500,1.644439697,29.42626953,1.119384766,12.63954163,0.359,2.527,0.17,0,1,0,0,100,0,1,0
62,1,3,200,1.64276123,37.08930969,0.877075195,11.02416992,0.638,2.838,0.442,1,1,0,0,100,0,1,0
63,1,4,500,1.490783691,22.07893372,0.619354248,4.74357605,0.426,3.449,1.266,1,1,0,0,100,0,1,0
64,1,1,200,1.871185303,35.52970886,0.806121826,10.16105652,0.65,2.886,1.906,1,1,0,0,100,0,1,0
65,1,3,200,1.865539551,29.17144775,0.956726074,7.732925415,0.357,2.992,0.47,1,1,0,0,100,0,1,0
66,1,4,500,1.880340576,39.62295532,1.422119141,18.42254639,0.477,2.376,0.845,1,1,0,0,100,0,1,0
